Currency Pair,Start Date,End Date,Duration,Exposure Time %,Final Equity $,Peak Equity $,Return %,Buy & Hold Return %,Annual Return %,Annual Volatility %,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown %,Avg. Drawdown %,Max. Drawdown Duration,Avg. Drawdown Duration,Number of Trades,Win Rate %,Best Trade %,Worst Trade %,Avg. Trade %,Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy $,SQN,Optimal STD,Optimal EMA
AUDUSD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.98567058444695,7173.516117884419,10278.324694753379,-28.26483882115581,-4.0281338264880935,-24.925092215277132,9.779937102946828,0.0,0.0,0.0,-31.366653103276743,-1.8350645711821267,275 days 04:00:00,13 days 20:00:00,175,24.0,4.122379739475468,-3.7805286737946586,-0.18964587357822582,10 days 10:00:00,2 days 02:00:00,0.6239203604972284,-0.18440532210376404,-2.396728658128148,3.0,59
EURAUD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.18064723876992,8848.979484326634,10108.020484534205,-11.510205156733663,-2.8856374080190426,-10.015419998975094,9.422361006663579,0.0,0.0,0.0,-16.65772197964189,-4.7352911825322215,191 days 16:00:00,51 days 04:00:00,175,30.28571428571429,3.6660041616495054,-2.726942512704711,-0.06985386085888168,8 days 20:00:00,2 days 02:00:00,0.8118713700065274,-0.06650381622448803,-1.1405444694764002,3.0,64
EURCAD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.48832716148769,6112.71979243732,10000.0,-38.872802075626794,-2.100771788815623,-34.60908189935562,6.115534213553117,0.0,0.0,0.0,-38.8728020756268,-38.8728020756268,354 days 09:00:00,354 days 09:00:00,193,21.761658031088082,2.0400156926071444,-1.5897128651812364,-0.2547325544591805,12 days 19:00:00,1 days 21:00:00,0.36313837521954584,-0.25306427609759635,-5.8265448777333,2.8,27
EURCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.59903381642512,6753.605615299162,10013.153106764794,-32.46394384700837,-5.096511798421603,-28.733247299240126,5.8203927321469555,0.0,0.0,0.0,-34.78488008929741,-8.832091200576222,357 days 08:00:00,89 days 20:00:00,169,24.85207100591716,2.500073347412668,-1.682372864962156,-0.23199827258602035,10 days 02:00:00,2 days 04:00:00,0.3850548283004741,-0.23029818504242539,-5.138605929661051,3.0,35
EURGBP=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.68018670529534,6958.501380071172,10009.86716126485,-30.41498619928828,0.8552915669808229,-26.871122526994974,6.036596540592713,0.0,0.0,0.0,-31.070133348975716,-8.34561944419978,344 days 14:00:00,89 days 21:00:00,174,24.137931034482758,1.7659208460368614,-1.5649285375277544,-0.2081963923760255,8 days 06:00:00,2 days 02:00:00,0.4200060982400484,-0.20668345423868517,-5.148799419814959,3.0,51
EURJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.64734299516908,5483.16181350713,10096.253446691897,-45.1683818649287,10.672218724188074,-40.46392057608729,6.972510891179849,0.0,0.0,0.0,-46.361774892082884,-6.147125222086669,345 days 07:00:00,44 days 21:00:00,186,19.892473118279568,2.9602315280519154,-2.2066792401201685,-0.32512568038995937,10 days 17:00:00,1 days 23:00:00,0.36859462762529016,-0.3218489154373613,-5.717664777750484,3.0,22
EURNZD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.00161030595814,7748.520522748535,10026.822387796312,-22.51479477251465,-1.1978232531346784,-19.75937621687489,8.000325988352325,0.0,0.0,0.0,-24.680151687117814,-8.833834889754007,347 days 07:00:00,120 days 03:00:00,183,27.86885245901639,3.3608654467053745,-3.1480276444694533,-0.13930289510322158,13 days 18:00:00,2 days 00:00:00,0.6431892234297498,-0.13632575037994923,-2.564062016510528,3.0,36
GBPCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.50217426316638,6786.701826769888,10090.506967991734,-32.132981732301126,-5.87908296049361,-28.431945503260426,7.0113466516945735,0.0,0.0,0.0,-33.37443368355088,-4.416882764407169,347 days 01:00:00,44 days 21:00:00,177,23.163841807909606,2.918604284674964,-3.062265227501193,-0.2187704254464351,11 days 20:00:00,2 days 01:00:00,0.4660978248157255,-0.21598943719453628,-4.152173552821629,3.0,48
GBPJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,96.79549114331722,5837.688677624578,10000.0,-41.62311322375422,9.74783964381075,-37.15615904941876,7.596580326049203,0.0,0.0,0.0,-42.60833753955017,-42.60833753955017,352 days 14:00:00,352 days 14:00:00,183,21.311475409836063,5.970166105593644,-4.4972268965195905,-0.29756384665350355,9 days 11:00:00,1 days 23:00:00,0.4484882825516208,-0.2923245307831132,-4.637719730434811,3.0,70
GBPUSD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.67933644709292,5757.9063014467965,10000.0,-42.42093698553204,-7.506822350066343,-37.89807534514538,7.1264071678493135,0.0,0.0,0.0,-42.42093698553203,-42.42093698553203,359 days 12:00:00,359 days 12:00:00,168,24.404761904761905,3.383632265144909,-5.541142739833038,-0.32807148508303685,8 days 18:00:00,2 days 04:00:00,0.39880734222629105,-0.32347403859350327,-4.947804081742299,3.0,49
USDCAD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.48913568324481,7248.495568700195,10000.0,-27.515044312998054,5.041486534657755,-24.24836619924048,6.378531412267599,0.0,0.0,0.0,-28.40037791900277,-28.40037791900277,354 days 09:00:00,354 days 09:00:00,178,27.52808988764045,1.9758800277833943,-2.999004431130814,-0.18063209784699996,10 days 00:00:00,2 days 00:00:00,0.5073919131081577,-0.17848910390713288,-3.6780369073701795,3.0,29
USDCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 21:00:00+00:00,364 days 21:00:00,98.54180168502916,5938.2473119044425,10042.316026446724,-40.61752688095557,1.7879644020262109,-36.22301334473067,5.9020899533974776,0.0,0.0,0.0,-41.83314898533704,-14.034283538017323,358 days 05:00:00,119 days 16:00:00,181,20.441988950276244,2.1917336917576136,-3.0499024308779488,-0.28754659615850553,14 days 22:00:00,2 days 00:00:00,0.34491784979766854,-0.2851895004180844,-6.166905144601203,3.0,46
USDCNY=X,2021-12-03 01:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 21:00:00,98.72636047857969,6768.522808057075,10000.323901747895,-32.31477191942925,10.122694039505411,-30.344152478527285,4.410653531144737,0.0,0.0,0.0,-32.52131584592441,-16.527949241859446,358 days 00:00:00,179 days 19:00:00,150,21.333333333333336,1.761460143507465,-1.6702504948211017,-0.25997009290100737,9 days 10:00:00,2 days 10:00:00,0.26184686276230934,-0.2586410627982112,-6.756526063265604,3.0,24
USDHKD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.98841326037979,6225.590281483898,10000.0,-37.74409718516102,-0.034657367582295186,-33.56835867274357,2.552585796304686,0.0,0.0,0.0,-37.831984624888804,-37.831984624888804,357 days 17:00:00,357 days 17:00:00,195,0.0,-0.1328775219387457,-0.4143201600722346,-0.24286376541905463,11 days 10:00:00,1 days 21:00:00,0.0,-0.24285675303056564,-74.59399335276143,3.0,20
USDJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 21:00:00+00:00,364 days 21:00:00,98.64033667853674,6012.620705242971,10022.854652197264,-39.873792947570294,18.736235654630157,-35.53424997172308,7.344315208232596,0.0,0.0,0.0,-40.25014834973671,-10.241443600434627,357 days 04:00:00,89 days 20:00:00,169,23.076923076923077,2.8250079039251252,-3.781109426893625,-0.303592764501881,10 days 23:00:00,2 days 04:00:00,0.41661724880140755,-0.2998354254999689,-5.088508088759253,2.8,20
USDKRW=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.01161358437444,6769.079197265666,10002.92191328125,-32.30920802734334,10.275881818542949,-30.33884763343745,6.8958774697866625,0.0,0.0,0.0,-32.44194839244934,-16.345964239193417,354 days 19:00:00,178 days 17:00:00,150,24.0,1.7658047330922022,-3.0921888261080666,-0.2779120728032436,12 days 15:00:00,2 days 10:00:00,0.4095600421881177,-0.27508715388622623,-4.678318969327492,3.0,48
USDNOK=X,2021-12-03 00:00:00+00:00,2022-12-02 21:00:00+00:00,364 days 21:00:00,98.63923537988012,7308.232429930929,10602.626405600744,-26.917675700690708,7.289542722099185,-23.70989836913182,11.019229550244399,0.0,0.0,0.0,-35.55354462422642,-1.7442532713616954,325 days 05:00:00,13 days 19:00:00,172,28.488372093023255,2.843098794492638,-2.902659830482013,-0.18226768566530493,11 days 17:00:00,2 days 03:00:00,0.6816351376044759,-0.17611540337612888,-2.1138788866313387,3.0,70
USDSGD=X,2021-12-03 00:00:00+00:00,2022-12-02 21:00:00+00:00,364 days 21:00:00,98.81819653553505,6523.133034322905,10000.0,-34.76866965677095,-1.261644129753643,-30.83710083130109,4.396191216788008,0.0,0.0,0.0,-34.826149860876335,-34.826149860876335,359 days 19:00:00,359 days 19:00:00,161,20.496894409937887,1.0029171512408452,-1.2403217225491758,-0.2650322128789462,13 days 13:00:00,2 days 06:00:00,0.21575782073835303,-0.2642944923968415,-9.142712301172049,3.0,62
